Epoch,Batch,Validate_Mean_sMAPE,Validate_Median_sMAPE,Validate_Mean_RMSE,Validate_Median_RMSE,Test_Mean_Mean_sMAPE,Test_Mean_Median_sMAPE,Test_Mean_Mean_RMSE,Test_Mean_Median_RMSE
50,20,19.810858428,19.076941768,4.663643222,4.3655804334,20.262164342,19.341655782,4.8119387734,4.5498370196
50,40,20.016346198,19.155233698,4.718140844,4.4512387341999995,20.484599446,19.546001896,4.857790339199999,4.582914686600001
50,80,20.148759358,19.247904206,4.7455998694,4.4975695586,20.363827612,19.357617304,4.8291126882,4.5717226772
25,20,20.148843885999998,19.380633086,4.7505477874,4.4613758356,20.374134498,19.50441793,4.8315045098,4.562619368
35,20,20.156494295999998,19.307767268,4.753433031599999,4.4789401624,20.599000171999997,19.729085964,4.879511434,4.5842647362
50,100,20.275962158,19.36803171,4.7733885414,4.4762781832,20.501592534000004,19.455015076000002,4.8553113869999995,4.5701241246
50,60,20.282017187999998,19.345515558,4.7722945114,4.4923449636,20.611596635999998,19.60619619,4.880101472600001,4.6156979148
35,40,20.311558298,19.505528688,4.772056422,4.477433699400001,20.51888787,19.52709828,4.8496835182,4.585828769400001
15,20,20.313093935999998,19.318946976,4.7943973422,4.537965245400001,20.209231572,19.225525422,4.8042015734,4.528750233199999
35,60,20.324815516,19.326363788000002,4.783280942,4.521024761,20.478549051999998,19.413477394,4.8566378198,4.5993963056
35,80,20.413435532,19.456941322,4.8001140937999995,4.5279491964,20.53301663,19.433517252,4.8645041014,4.5606141602
25,40,20.4328335,19.44599235,4.8126292384000005,4.5541963926,20.496418827999996,19.404573626,4.857267967,4.6200042774
5,40,20.456119548,19.518856348,4.8437067074,4.4966054032,20.366032426,19.3070138,4.8433482528,4.474083373399999
35,100,20.467146606,19.485263163999996,4.8256755196,4.554619259000001,20.570154974,19.444819226,4.8635178116,4.591694541600001
5,100,20.47903107,19.459114504,4.8483885419999995,4.5327802554000005,20.354537676,19.178753698,4.8487333958,4.5084951722
15,80,20.502757526000003,19.380509182,4.842211356999999,4.5254750858,20.431467861999998,19.291809190000002,4.8527766022,4.5171397632
5,80,20.515859380000002,19.554422922,4.8467994876,4.5441174638,20.400512124,19.201768003999995,4.8456930972,4.489411261799999
25,60,20.51597578,19.496982690000003,4.8267826864,4.5377229922,20.618163154,19.482005582,4.876570223,4.6004968457999995
15,100,20.539222451999997,19.457263473999998,4.8482581183999995,4.5348416168,20.496370214,19.35320766,4.8617408676,4.5333500308
25,80,20.546149732,19.638023598,4.8308321724,4.548568399599999,20.495027072,19.401701795999998,4.852789539000001,4.537493208999999
25,100,20.557680658000002,19.525346565999996,4.8404679698,4.5590940084,20.592992635999998,19.5542948,4.8758434496,4.5606042136000005
5,20,20.600909339999998,19.612282806000003,4.8618786426,4.5451639684,20.515053594,19.456862222,4.8683087324,4.5315317440000005
15,60,20.60647392,19.490631916,4.8537741324,4.534306847399999,20.659747666,19.438152115999998,4.8872528826,4.5415979704
5,60,20.637150288,19.649363476,4.867022219000001,4.5277226124,20.4486254,19.269065266000002,4.8547880878,4.5011870434
15,40,20.667669164,19.634783677999998,4.8543975463999995,4.5635102684,20.680345112,19.62549042,4.882231148999999,4.5694504158
