Epoch,Batch,Validate_Mean_sMAPE,Validate_Median_sMAPE,Validate_Mean_RMSE,Validate_Median_RMSE,Test_Mean_Mean_sMAPE,Test_Mean_Median_sMAPE,Test_Mean_Mean_RMSE,Test_Mean_Median_RMSE
50,20,19.34686765,18.447107452,4.546280812400001,4.191159937,20.017657860000003,19.06711551,4.7556560034,4.432653269799999
35,20,19.817136732,19.06761504,4.620789198,4.292775222,20.343703032,19.361048886,4.814799894,4.5003663748000005
25,20,19.853236958,18.825920840000002,4.6507766531999994,4.3793329528000005,20.309425782,19.180546908,4.8244024736,4.5535721346
50,40,19.962892024,19.140189446,4.6753468822,4.3625507774,20.494419747999995,19.610946855999998,4.844102094,4.5247745539999995
50,60,20.235544263999998,19.253978346,4.720968377,4.4135918026,20.74815135,19.664982796,4.8901911362,4.5853642820000005
50,80,20.286896182,19.278221738000003,4.7525768042,4.420064013,20.834402402000002,19.82916981,4.919747402800001,4.592226645599999
50,100,20.421821188,19.330379286,4.7811286972,4.4582324454,20.96051939,20.014208619999998,4.927194477,4.606746701800001
25,40,20.431511174,19.41599359,4.785699593999999,4.4870745942,20.939044786,20.001956382,4.9323759202,4.578909003800001
35,60,20.450294008,19.389760916,4.7863084888000005,4.4308958726,20.952675202,20.058281351999998,4.9304487708,4.569176925
35,40,20.464721414,19.4188816,4.7681331516,4.4575215358,20.923094356,19.848635224,4.9224420952,4.5839499107999995
15,20,20.565242171999998,19.392921696000002,4.794683514600001,4.4726607826,20.989513056,19.721500678,4.9321486922,4.5667277476
15,100,20.628646296,19.492794376,4.855305124,4.5983585036,20.702642083999997,19.525601962000003,4.889733380200001,4.5983975942
35,100,20.65749231,19.592552992,4.8429148265999995,4.508588747399999,21.128071483999996,20.155799793999996,4.9657025052,4.5978735146
25,100,20.759166844,19.749142696,4.860090168400001,4.547786186000001,21.053594556,20.006850286,4.967631040800001,4.641347806
5,40,20.762454478000002,19.69458761,4.887326865,4.575229661,20.714286292000004,19.50348587,4.891635526,4.6051374702
5,100,20.776533307999998,19.776552692,4.888072964,4.5887522176,20.602035462,19.50065106,4.8825300132,4.610646163
25,80,20.789213024,19.788475982,4.867161706599999,4.5321926242,20.990590334,20.05827567,4.9343281804,4.574232613
5,80,20.821661296,19.763611020000003,4.9051792899999995,4.6247743528,20.762917226000003,19.665990654,4.908065816599999,4.620009134
35,80,20.832622006,19.781003968,4.854329732000001,4.4967424588,21.24014321,20.222949911999997,4.9797195232,4.617011094
5,20,20.847768838,19.892179227999996,4.9005687170000005,4.5836333762,20.865918994,19.948905034,4.9309303270000004,4.6113257444
25,60,20.857942978,19.907712685999996,4.8677467746000005,4.528777019800001,21.10367588,20.131658218000002,4.9589928464,4.5824003746
15,80,20.866855784000002,19.754904426,4.887636799800001,4.599475965000001,20.857832715999997,19.851040404,4.917326966,4.5791967226
15,60,20.892454647999998,19.817807918,4.8906582724000005,4.5554245226,21.000287858,20.100918354,4.9436413382,4.5983594042
5,60,21.020882672,20.253743104,4.9359127746,4.639449867800001,20.946776716,20.173274566,4.9423493914,4.5843142630000004
15,40,21.110103536,20.195282860000003,4.923545390599999,4.5478774271999995,21.142968739999997,20.112533598,4.9588951478,4.596769160399999
