Epoch,Batch,Validate_Mean_sMAPE,Validate_Median_sMAPE,Validate_Mean_RMSE,Validate_Median_RMSE,Test_Mean_Mean_sMAPE,Test_Mean_Median_sMAPE,Test_Mean_Mean_RMSE,Test_Mean_Median_RMSE
50,20,19.287844632,18.733633320000003,4.5679287446000005,4.288914785200001,20.054643762,19.298457456,4.7664000668,4.513030198000001
35,20,19.492246318,18.961165654,4.607915546199999,4.3591060114,19.950874964,19.22206151,4.756834888200001,4.5208055002
50,40,19.546229332,18.924830408,4.611657675,4.3411980634,20.116434708000003,19.451866402,4.78271085,4.5410485972000005
25,20,20.029981318,19.20324415,4.7269131974,4.4444327353999995,20.575129764,19.81824153,4.8749355248,4.5845375304000004
35,40,20.03508728,19.181186,4.723666264799999,4.4454152376,20.543931993999998,19.709281996,4.861937482,4.5891847818
50,60,20.076701122,19.24580703,4.723580659,4.450655334,20.643754288,19.81358663,4.870777567399999,4.5851390696
15,20,20.255148092,19.415401708,4.7685673992,4.4693752884,20.590003818,19.783274929999997,4.8765549618,4.5798976172
25,40,20.314870632,19.5182531,4.782070463400001,4.487515569999999,20.583679114,19.701256216,4.8719038908000005,4.5908638696
35,60,20.357133132,19.564714264,4.7914664096,4.467269392,20.968998324,20.118517746000002,4.9407389880000006,4.6318071544
50,80,20.400066398,19.584063316,4.778679986199999,4.452272675400001,21.166774668,20.144240184,4.954731304,4.6249291514
35,80,20.445843782,19.69191827,4.8110319646,4.5029045952,20.887564486000002,20.017999738,4.930815968599999,4.607627655
25,60,20.545027934,19.613833768,4.8213273694,4.5017490916,20.908307123999997,19.941677428000002,4.9351981948,4.590809915
35,100,20.545269128,19.679023618,4.835882411199999,4.505588906200001,20.962604113999998,20.012023587999998,4.9480443698,4.6066856532
50,100,20.549947523999997,19.719899546,4.8145000185999995,4.5002758296000005,21.13707561,20.15928604,4.9614195236,4.6490505967999995
15,40,20.622808881999998,19.786181166,4.8658213408,4.566483362800001,20.696280364,19.686252624,4.898595009399999,4.5657017496000005
25,80,20.674524734,19.763815862,4.8639788636,4.5174345235999995,20.827116150000002,19.796849076,4.9149513484,4.586580798
5,80,20.697565628,19.761172212,4.898254468799999,4.4996545904,20.737643598,19.709022602,4.9208720524,4.5221543918
15,100,20.746480738,19.898159518,4.877584344200001,4.551540531,20.707368054,19.764110876,4.9083646786,4.5573349966
5,100,20.786061659999998,19.835836064,4.8956746926,4.4949470906,20.876607756,19.887767430000004,4.9372339106,4.5860533852000005
5,60,20.845143525999998,19.85517145,4.9249963642,4.5479199398,20.696818908,19.725633138,4.8972839924,4.5161666590000005
15,60,20.858203839999998,20.06459388,4.902006132,4.574303295399999,20.961615897999998,19.994115538000003,4.957238856000001,4.6242961048
5,40,20.870956218,19.948368836,4.9206188872,4.5673629968,20.817908502,19.823082036,4.9231809936,4.5737069954
25,100,20.953144543999997,20.13566277,4.8894587078,4.5068835854,21.28392866,20.302140378,4.9997394948,4.6371143886
15,80,21.050353828,20.267902432,4.925032068,4.597122561,21.216022436,20.30274148,4.9869823196,4.642264966200001
5,20,21.302585636,20.528828041999997,4.981934600800001,4.637782888399999,21.312884974,20.416009027999998,5.005115124,4.6617785188
