Epoch,Batch,Validate_Mean_sMAPE,Validate_Median_sMAPE,Validate_Mean_RMSE,Validate_Median_RMSE,Test_Mean_Mean_sMAPE,Test_Mean_Median_sMAPE,Test_Mean_Mean_RMSE,Test_Mean_Median_RMSE
50,20,19.197237586,18.552608342000003,4.5420638892000005,4.253789198200001,20.043393928,19.197396742000002,4.7736087192,4.4653118908
35,20,19.590706718,18.916471052000002,4.635241774000001,4.2966658834,20.21273605,19.311883072,4.8002006866,4.4432867038
50,40,19.704079172,18.871973584,4.6533842299999995,4.3957048702,20.255349746,19.472344898000003,4.8012503902,4.51147023
50,80,19.732368966000003,19.052919493999998,4.6514488766,4.3798933585999995,20.26533387,19.369720484000002,4.8120796966,4.5436769548000004
50,60,19.896322228000002,19.232515228,4.6912131498,4.4352447974,20.302796544,19.603742498,4.798461516,4.489297362
25,20,19.917312558,19.069641269999998,4.691783888800001,4.3851278262,20.238394141999997,19.327494272,4.8081421628,4.5302116124
35,40,19.998442304,19.229871768000002,4.7131692504,4.4104785348,20.592449374,19.98441009,4.8623383468,4.541094664199999
35,60,20.029716986,19.274097544,4.7267776484,4.442546163599999,20.400319754,19.507135700000003,4.829202306,4.510235225
35,80,20.065949524,19.131029562000002,4.7409910544,4.481324443,20.3741236,19.409680784,4.8319115863999995,4.5454704722
50,100,20.101836822000003,19.318192739999997,4.7300173580000004,4.448126193199999,20.42509822,19.480206763999995,4.837943729599999,4.535697884799999
25,40,20.107865428,19.268475856000002,4.7480773946,4.5094252724,20.364347090000003,19.544701101999998,4.8294580171999995,4.514893843
25,60,20.213629924,19.309289682,4.7604034972000004,4.5062022152,20.454838020000004,19.559994994,4.8427176882,4.5831833836
15,20,20.307606728,19.345285486,4.781954567200001,4.5297224856,20.634014116,19.682886748,4.879320338,4.581511487999999
15,80,20.374218071999998,19.404531324000004,4.8115418188,4.520638397800001,20.496835968,19.579003196,4.8602616780000005,4.5797876494
15,40,20.37971477,19.423259906000002,4.7910913998,4.5408783526,20.357645945999998,19.249559418,4.8235622209999995,4.549391415200001
35,100,20.394182020000002,19.425413854,4.792441907200001,4.5266225798,20.780891348,19.976689548000003,4.8929839794,4.6122261128
25,80,20.419538046,19.366556406,4.8091070016,4.5651223092,20.478481170000002,19.329745292000002,4.8418768856,4.5413957896
5,100,20.484204094,19.378540836,4.8364774731999995,4.5206866448,20.408149586,19.350486966,4.8251921287999995,4.529636171
25,100,20.486484288,19.484157088,4.832687686,4.5506336524,20.580580402000002,19.503089614,4.866113003200001,4.6212122319999995
5,80,20.529676718,19.46065857,4.8293722166,4.5145283656,20.464780685999997,19.353930448,4.846917931600001,4.5444260782
15,60,20.531084651999997,19.715204762,4.8423651364,4.5438600998,20.616059232,19.549081616000002,4.8917352572,4.5854588342
5,60,20.546971188000004,19.536516066,4.8388901814,4.564879502,20.56115853,19.439683814,4.8563581194,4.5442016214
15,100,20.556861702,19.654414788,4.837791837799999,4.5491764834,20.537638746000002,19.458049294,4.8648516308,4.5578202738
5,40,20.747904765999998,19.793453702,4.863615325,4.5709020121999995,20.720155426,19.646060675999998,4.8953154772,4.5715577682
5,20,20.833275309999998,19.933900804,4.8956482916,4.579860984600001,20.96781521,20.090462966,4.9367917314,4.607608728000001
