Epoch,Batch,Validate_Mean_sMAPE,Validate_Median_sMAPE,Validate_Mean_RMSE,Validate_Median_RMSE,Test_Mean_Mean_sMAPE,Test_Mean_Median_sMAPE,Test_Mean_Mean_RMSE,Test_Mean_Median_RMSE
50,20,19.212978888000002,18.601432178,4.5485215856,4.207180012,19.88954894,19.24600616,4.735400261400001,4.461787918600001
35,20,19.447206316,18.850972073999998,4.6035120796,4.2714096896000004,20.017756522000003,19.138526232,4.772351871000001,4.451572577199999
50,40,19.60430808,18.920944182,4.6398633791999995,4.3520958706,20.064811626,19.16264003,4.7887237782,4.4591128006
25,20,19.667332694000002,18.979165164,4.6598914254,4.3455312354,20.05543441,19.268660204,4.7660970534,4.419710952200001
50,100,19.708273032,19.01364726,4.6546587846,4.3770936236,20.079338694,19.258277156000002,4.7741815328,4.507426927199999
50,80,19.716196884,19.001275694000004,4.6586092858,4.380105412,20.315376782,19.415949755999996,4.8154260118,4.5011600564
50,60,19.76908,18.937553594,4.6796377734000005,4.388107511399999,20.230495092,19.450067252000004,4.8086994365999995,4.4677633172
35,40,19.814075258000003,19.083300217999998,4.670726547199999,4.412416777799999,20.170140712,19.282538284,4.7963501426,4.5163357636
35,80,19.904339766,19.017192266000002,4.6924925561999995,4.4111451384,20.066117476,19.133259694,4.7805880136,4.478363117800001
35,60,19.97572802,19.326951478,4.7071426238,4.434607314799999,20.285623058,19.362741382000003,4.798148190000001,4.518669209
25,60,20.051936647999998,19.11330989,4.737524865399999,4.4536281001999996,20.220018392,19.195378037999998,4.799816677,4.515862144200001
25,40,20.071085746,19.206448037999998,4.7277725344,4.4625616672,20.227034873999997,19.28577504,4.7950886558,4.5170458022
25,80,20.077068364000002,19.082144812,4.7205022906,4.4525797488,20.303484722,19.018716966,4.815823706,4.5267076212
15,20,20.152101772,19.311544922,4.7514165436,4.5041660502,20.252207325999997,19.329716060000003,4.826833976400001,4.5213788589999995
35,100,20.192739866,19.183785088,4.7337021018,4.459281515199999,20.435357068000002,19.50824475,4.837084887,4.517668812799999
15,100,20.328411426,19.471536273999998,4.802477325,4.5031299879999995,20.288273737999997,19.210759932000002,4.8042014592,4.503607045200001
15,80,20.369842028,19.393853463999996,4.800244659600001,4.503831852,20.439794728000003,19.279868533999995,4.8324679382,4.5205122962
15,60,20.380941858,19.176723304,4.795256230600001,4.5214143484,20.636239466,19.500298066000003,4.8736696004,4.565457191999999
25,100,20.411753486000002,19.430377696,4.8042179875999995,4.5453402382,20.453333906,19.351314956,4.851390256,4.5586853184
5,40,20.458841576,19.465668504,4.8053319756,4.48318362,20.52023234,19.409594694,4.8512370526,4.572748377
5,20,20.488545814,19.55930913,4.8244872008,4.5390169626,20.657886266,19.714963222,4.8703960978,4.5225932812
5,60,20.505882768000003,19.463656864,4.825798944,4.510536835799999,20.410209268,19.325783003999998,4.834246774799999,4.524336067
5,100,20.519853636,19.633439186,4.8290119194,4.5246459286,20.443299194,19.529823959999998,4.825984678999999,4.5189625866
15,40,20.52584736,19.715179956,4.833011642200001,4.5692952042,20.560701968,19.388870082,4.8474306124,4.5354100628000005
5,80,20.679965548,19.68517232,4.8405104048,4.5399982928,20.787372658000002,19.88883748,4.891024227,4.5654793324
