Epoch,Batch,Validate_Mean_sMAPE,Validate_Median_sMAPE,Validate_Mean_RMSE,Validate_Median_RMSE,Test_Mean_Mean_sMAPE,Test_Mean_Median_sMAPE,Test_Mean_Mean_RMSE,Test_Mean_Median_RMSE
50,20,19.082129834,18.428791808,4.5575819102,4.2917008082,19.899184929999997,19.104303652,4.7581761864,4.461311440799999
50,40,19.319856688000005,18.629958656,4.5997503472,4.3312747082000005,19.857401402,19.295883488,4.7348952872000005,4.467882824399999
35,20,19.3882093,18.765946994,4.605612841400001,4.374804247799999,19.886055984000002,19.127373302000002,4.7457083622,4.487588057800001
25,20,19.581152728,18.936601559999996,4.639233945599999,4.3805290176,19.972730910000003,19.33178804,4.7567745352,4.467106430199999
50,60,19.615657765999998,19.063282116,4.6509766468,4.3952785228,20.190154021999998,19.41435037,4.8001620125999995,4.5105180122
50,80,19.699589776,19.099554230000003,4.6671469642000005,4.400036602,20.253665948,19.483404472,4.806972592599999,4.5370088516
25,40,19.799702571999998,19.101387904,4.7034833136000005,4.463900661400001,19.984329690000003,19.167104088,4.7669002818,4.4798661746
35,40,19.914626492000004,19.198895546,4.6977001608,4.399962545199999,20.131213976000005,19.41629552,4.775822701,4.4936281126
35,60,19.938257095999997,19.222579925999998,4.7189589204,4.4588144916,19.973493777999998,19.01486618,4.775338297999999,4.5026733718
50,100,20.025744716,19.346573902,4.7294026296,4.471208868400001,20.225345836,19.334871176,4.807167763,4.5043429580000005
15,20,20.031479896,19.281009288,4.7410356678,4.4191327274,20.254667140000002,19.352282797999997,4.8120238856,4.5335777764
35,100,20.107364566,19.435628844,4.7436462762,4.471797609000001,20.227857576,19.409666941999998,4.806659491,4.4916620688
35,80,20.162674086,19.486647796000003,4.758210292999999,4.477015184400001,20.203512604,19.424872364,4.785231618199999,4.5065033122
25,80,20.197554962,19.549328068,4.778597253999999,4.5125299154,20.374582548,19.342198806000003,4.8403921568,4.5726421234
5,100,20.250073152,19.277491186,4.8033149432,4.4974527924,20.206716657999998,19.141131281999996,4.8069397154,4.4626483502
25,60,20.261830576,19.423556462,4.775503195400001,4.4788410262,20.457141818,19.603120460000003,4.8351184316,4.5356321946
25,100,20.313561924,19.492737024,4.7829739676,4.5450521264,20.540727842,19.543212936,4.861780437999999,4.6058031580000005
15,40,20.548514828,19.869487096,4.835076453400001,4.551484593,20.916358574,20.134713008,4.9139743704,4.602983044
5,80,20.561793924,19.533605548000004,4.841196259599999,4.5506989474,20.654611875999997,19.721097344,4.8786140506,4.5763864556
5,40,20.563872346,19.555625708,4.8477010176,4.4906281692,20.873265552,19.960767307999998,4.9176168492,4.5305160946
5,60,20.680757596,19.820524704,4.8709121428,4.599883752799999,20.560683062000003,19.585112994,4.8656155876,4.5420981574
15,80,20.710236983999998,19.963844212,4.8768235332000005,4.5750046086,20.944657568000004,20.014785533999998,4.926588063,4.6008916712
5,20,20.753050436,19.885567216000002,4.880075879800001,4.5777152244,20.558804226,19.426613409999998,4.8686868919999995,4.5941677138
15,60,20.785849478000003,20.024470348,4.8682257168,4.58954989,21.289953313999998,20.360245166,4.9995925194,4.6873592662000005
15,100,20.890964316,19.945107924000002,4.8980161486,4.6028068988,21.45209211,20.606550082,5.0038174896,4.686555658800001
