Epoch,Batch,Validate_Mean_sMAPE,Validate_Median_sMAPE,Validate_Mean_RMSE,Validate_Median_RMSE,Test_Mean_Mean_sMAPE,Test_Mean_Median_sMAPE,Test_Mean_Mean_RMSE,Test_Mean_Median_RMSE
50,20,19.021548115861343,18.32688534716475,4.528142054657041,4.2008854879396935,20.045550062560306,19.235743474857003,4.755092966163834,4.447995265131618
35,20,19.404965304060905,18.580727099507733,4.595711706967981,4.274510969624484,20.13274127659775,19.430368375686008,4.783211840421531,4.488181743514536
50,40,19.49502130539057,18.690676544391643,4.638584291179563,4.340685926588604,20.088865914133475,19.31908712734765,4.789330291364275,4.508429960861565
25,20,19.51718105898103,18.77638646159479,4.628493538458097,4.35155549867523,20.416692235557814,19.651588168509992,4.822645937274094,4.550421442217824
50,60,19.605291524544008,18.846054424593785,4.641725725057878,4.336296288404389,20.145325147299978,19.445699825225432,4.771284305350564,4.478620506760208
35,40,19.657054284462248,18.820086783886094,4.666021960185181,4.4010153076140455,20.408117515455366,19.507119407616027,4.833812812589764,4.558200883289663
35,60,19.676675569198295,18.72998392762663,4.662191866310481,4.384786934626276,20.431247569717492,19.54610814187071,4.832837342391349,4.523775928782635
50,80,19.71496199027498,19.05265315647153,4.676103638740949,4.394850380792082,20.327455506340428,19.378619841116585,4.82096502063146,4.488829591064094
50,100,19.731121965670226,18.836147405854135,4.683343650072038,4.417493422822737,20.359164747292272,19.452860262070192,4.8234401793545585,4.4711851968021445
35,100,19.86483897359624,18.874332349935468,4.709379781969266,4.446360092943099,20.21372165989859,19.084032107717537,4.786311855696251,4.542285971001666
25,60,19.947105990443628,18.91737298624871,4.705488931012184,4.469290351757346,20.383231077523533,19.195327181260378,4.819978026194903,4.539713227290577
15,20,19.996556700650366,19.01033087036371,4.72614580472988,4.425856885098342,20.33837966775268,19.3405685625451,4.817189946012602,4.553789901189069
25,40,20.00834055343508,19.12202969509998,4.736562928219361,4.448405335847225,20.284233824944632,19.327955064491615,4.819847531353927,4.5721810202463615
15,40,20.06921647042095,18.991541568377578,4.766379028798866,4.492676832010913,20.390709741430975,19.375249074709693,4.839039117348497,4.5910592684245985
35,80,20.087421897373254,19.24272642783226,4.7434125031653505,4.480245789464407,20.476650893122105,19.358469432397342,4.842531197642995,4.5453346870207945
5,60,20.122373718819194,19.029596637269727,4.770708375595892,4.459330173340931,20.345151016550634,19.250176116849225,4.823883110398441,4.499945371969208
25,80,20.20577826665941,19.218416553139186,4.783799749074937,4.510611590851579,20.244774203107944,19.103824774502737,4.798602069152459,4.559681562623644
15,80,20.25479235074816,19.231098819637417,4.788686752808406,4.477779178826266,20.759242003220002,19.81352135928953,4.910323378854853,4.585338519254905
5,100,20.269118216971787,19.18459412247497,4.795718433365023,4.50905727156839,20.189433843283837,19.239672493689188,4.791145666132602,4.491689800981618
15,60,20.321400811547925,19.3404280166682,4.806069519319848,4.545642866472346,20.424943993740225,19.347115226383927,4.833551950239624,4.554536602150486
5,40,20.370458289201654,19.273414141487194,4.810869680265501,4.523011088437776,20.696298272102272,19.662697848210676,4.891305348878424,4.560333871687243
5,80,20.410985569234622,19.388576074995438,4.8259301605208496,4.504513599784901,20.73718384789741,19.76118649967183,4.881870274221658,4.553435946704658
15,100,20.416178472084788,19.337553904537707,4.829919520666321,4.502495752635682,20.686259196967946,19.689224648306038,4.876833358516059,4.567242415058234
5,20,20.42844360474843,19.4795823364681,4.830633037828728,4.513355571358,20.422216857580263,19.525250866548426,4.838473915704034,4.479949844408116
25,100,20.486649939577656,19.545363749220634,4.832717711399476,4.5207283507727265,20.75519685321168,19.912283815210504,4.892988660809604,4.567578092691778
